market_cap_by_available_supply,price_btc,price_platform,price_usd,volume_usd,time
459267772,0.0006979660000000001,0.00869029,1.9574,39880300,1500758056000
494595734,0.0007489080000000001,0.00919035,2.10482,57426900,1500779659000
445144852,0.0006877960000000001,0.00843404,1.8942100000000002,65563800,1500801258000
452856667,0.000686581,0.00841809,1.91233,67805300,1500822864000
454422068,0.00068928,0.00839072,1.9180100000000002,63320900,1500844481000
457488734,0.000696731,0.008500530000000001,1.93059,49381400,1500866089000
445372835,0.0006830450000000001,0.008381699999999999,1.87927,33276200,1500887695000
443421373,0.000667943,0.00822148,1.85636,26928200,1500909286000
445270434,0.000675536,0.00829645,1.86286,38368600,1500930898000
442106172,0.000672789,0.00827304,1.84938,35472900,1500952499000
424532045,0.00066071,0.00821217,1.7758,38068200,1500974093000
398970853,0.000641666,0.00796535,1.6566100000000001,38308700,1500995692000
384612583,0.000630185,0.00797699,1.59602,39767800,1501017291000
375386178,0.00062715,0.0077735999999999994,1.55748,41370000,1501038889000
369674661,0.000610788,0.0076475300000000005,1.5336500000000002,39877500,1501060482000
404992726,0.000670212,0.008280000000000001,1.66808,43119900,1501082088000
409556057,0.0006720220000000001,0.00829239,1.68518,46470600,1501103686000
428291029,0.0006950950000000001,0.00867247,1.76098,54522400,1501125287000
449405436,0.000725541,0.00905749,1.84762,68671300,1501146885000
455171229,0.000728976,0.00917457,1.85696,65585100,1501168487000
463968470,0.0007267580000000001,0.00936168,1.89206,62242000,1501190092000
487980907,0.0007416440000000001,0.00975879,1.98967,71620700,1501211698000
482031231,0.000714784,0.00974421,1.96527,66993500,1501233293000
467057650,0.000686119,0.00953481,1.8900100000000002,73465500,1501254894000
462761875,0.000679363,0.00951163,1.87206,71961800,1501276497000
438865186,0.0006499860000000001,0.0094098,1.7753,60342600,1501298100000
427540180,0.000624078,0.00925652,1.7179,51245700,1501319697000
420555853,0.000628338,0.00927571,1.68894,36471400,1501341304000
450980652,0.000663742,0.00919762,1.81034,41927700,1501362903000
446285340,0.000665215,0.00887545,1.79142,38877500,1501384500000
440665387,0.0006624640000000001,0.00883687,1.7526700000000002,31991100,1501406099000
450503785,0.000659858,0.00892508,1.79055,32911900,1501427695000
451947292,0.000661751,0.00899754,1.79589,29734800,1501449301000
440682299,0.000645397,0.0088807,1.75068,25189200,1501470896000
439843072,0.000635224,0.00877432,1.73614,25013200,1501492495000
441467723,0.0006297420000000001,0.00881447,1.74188,26434800,1501514098000
448650692,0.000616684,0.00876353,1.76898,29542000,1501535696000
446515461,0.000619052,0.00838478,1.76035,31823400,1501557300000
439374821,0.000639826,0.00798132,1.72134,37785000,1501578898000
448726705,0.00065242,0.00802676,1.75758,41622700,1501600501000
454985940,0.000650941,0.00781872,1.78062,39495500,1501622094000
455880781,0.000649947,0.00784601,1.7837200000000002,38747800,1501643700000
458984191,0.00065729,0.007956050000000001,1.78295,33643300,1501665294000
455686071,0.000656572,0.00802866,1.76983,29875500,1501686903000
